source,source_detail,subtech,component,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
Lux-2023,"Table 2, Page 6",LT-DAC,#,2050,Lifetime,,25.0,,year,,,
Lux-2023,"Table 2, Page 6, Footnote a",LT-DAC,#,*,FLH,,8000.0,,hour,,,
Lux-2023,"Table 2, Page 6",LT-DAC,#,2050,Input|Electricity,Output|Captured CO2,1685.0,,kWh,1.0,t,
Lux-2023,"Table 2, Page 6",LT-DAC,#,2050,Input|Electricity,Output|Captured CO2,1339.0,,kWh,1.0,t,
Socolow-2011,"In the text, Page 36. Combines Tables 2.3 and 2.4",HT-DAC,#,2011,Input|Electricity,Output|Captured CO2,0.49,,MWh,1.0,t,
Socolow-2011,"In the text, Page 36.",HT-DAC,#,2011,Input|Heat,Output|Captured CO2,8.1,,GJ,1.0,t,
Socolow-2011,"In the text, Page 44",HT-DAC,#,2011,FLH,,7884.0,,hour,,,
Socolow-2011,Table 2.5,HT-DAC,#,2011,CAPEX,Output Capacity|Captured CO2,2900.0,,USD_2009,1.0,t/a,"Used line ""Total Installed capital cost"" for the ""realistic"" column"
Socolow-2011,Table 2.5,HT-DAC,#,2011,OPEX Variable,Output|Captured CO2,120.0,,USD_2009,1.0,t,"Used line ""Maintenance labor and chemicals"" cost for the ""realistic"" column"
Socolow-2011,Table 2.5,HT-DAC,#,2011,CAPEX,Output Capacity|Captured CO2,2200.0,,USD_2009,1.0,t/a,"Used line ""Total Installed capital cost"" for the ""optimistic"" column"
Socolow-2011,Table 2.5,HT-DAC,#,2011,OPEX Variable,Output|Captured CO2,120.0,,USD_2009,1.0,t,"Used line ""Maintenance labor and chemicals"" cost for the ""optimistic"" column"
Realmonte-2019,Table S4,LT-DAC,#,2019,CAPEX,Output Capacity|Captured CO2,430,,MUSD_2019,1,Mt/a,"No cost basis given. See Supplementary information. Low assumption. Legend states that reference plant size is used here, which is 1Mt/a for both."
Realmonte-2019,Table S4,LT-DAC,#,2019,CAPEX,Output Capacity|Captured CO2,750,,MUSD_2019,1,Mt/a,"No cost basis given. See Supplementary information. High assumption. Legend states that reference plant size is used here, which is 1Mt/a for both."
Realmonte-2019,Table S4,HT-DAC,#,2019,CAPEX,Output Capacity|Captured CO2,1146,,MUSD_2019,1.0,Mt/a,"No cost basis given. See Supplementary information. Low assumption. Legend states that reference plant size is used here, which is 1Mt/a for both."
Realmonte-2019,Table S4,HT-DAC,#,2019,CAPEX,Output Capacity|Captured CO2,2060,,MUSD_2019,1.0,Mt/a,"No cost basis given. See Supplementary information. High assumption. Legend states that reference plant size is used here, which is 1Mt/a for both."
Realmonte-2019,Table S4,LT-DAC,#,2019,Input|Electricity,Output|Captured CO2,0.6,,GJ,1.0,t,See Supplementary information. Low assumption.
Realmonte-2019,Table S4,LT-DAC,#,2019,Input|Electricity,Output|Captured CO2,1.1,,GJ,1.0,t,See Supplementary information. High assumption.
Realmonte-2019,Table S4,LT-DAC,#,2019,Input|Heat,Output|Captured CO2,4.4,,GJ,1.0,t,Low temperature (85°-120°C). See Supplementary information. Low assumption.
Realmonte-2019,Table S4,LT-DAC,#,2019,Input|Heat,Output|Captured CO2,7.2,,GJ,1.0,t,Low temperature (85°-120°C). See Supplementary information. High assumption.
Realmonte-2019,Table S4,HT-DAC,#,2019,Input|Electricity,Output|Captured CO2,1.3,,GJ,1.0,t,See Supplementary information. Low assumption.
Realmonte-2019,Table S4,HT-DAC,#,2019,Input|Electricity,Output|Captured CO2,1.8,,GJ,1.0,t,See Supplementary information. High assumption.
Realmonte-2019,Table S4,HT-DAC,#,2019,Input|Heat,Output|Captured CO2,5.3,,GJ,1.0,t,High temperature (T > 800°C). See Supplementary information. Low assumption.
Realmonte-2019,Table S4,HT-DAC,#,2019,Input|Heat,Output|Captured CO2,8.1,,GJ,1.0,t,High temperature (T > 800°C). See Supplementary information. High assumption.
Realmonte-2019,Figure S8,LT-DAC,#,2019,Lifetime,,15,,year,,,See Supplementary information.
Realmonte-2019,Figure S8,HT-DAC,#,2019,Lifetime,,20,,year,,,See Supplementary information.
NASEM-2019,Table 5.3,HT-DAC,#,2019,CAPEX,Output Capacity|Captured CO2,1255.0,,MUSD_2016,1.0,Mt/a,"Upper bound. Second line, for slaker causticizer, and clarificator mentions that currencies are converted to USD 2016."
NASEM-2019,Table 5.3,HT-DAC,#,2019,CAPEX,Output Capacity|Captured CO2,675.0,,MUSD_2016,1.0,Mt/a,Lower bound
NASEM-2019,Table 5.3,HT-DAC,Operation & Maintenance,2019,OPEX Variable,Output|Captured CO2,18.0,,MUSD_2016,1.0,Mt,Lower bound
NASEM-2019,Table 5.3,HT-DAC,Operation & Maintenance,2019,OPEX Variable,Output|Captured CO2,33.0,,MUSD_2016,1.0,Mt,Upper bound
NASEM-2019,Table 5.3,HT-DAC,Labour,2019,OPEX Variable,Output|Captured CO2,6.0,,MUSD_2016,1.0,Mt,Lower bound
NASEM-2019,Table 5.3,HT-DAC,Labour,2019,OPEX Variable,Output|Captured CO2,10.0,,MUSD_2016,1.0,Mt,Upper bound
NASEM-2019,Table 5.3,HT-DAC,Other,2019,OPEX Variable,Output|Captured CO2,5.0,,MUSD_2016,1.0,Mt,Lower bound
NASEM-2019,Table 5.3,HT-DAC,Other,2019,OPEX Variable,Output|Captured CO2,7.0,,MUSD_2016,1.0,Mt,Upper bound
NASEM-2019,Table 5.10,LT-DAC,Adsorbent,2019,CAPEX,Output Capacity|Captured CO2,70,,MUSD_2016,1.0,Mt/a,Case 2: low cost case.
NASEM-2019,Table 5.10,LT-DAC,Adsorbent,2019,CAPEX,Output Capacity|Captured CO2,186,,MUSD_2016,1.0,Mt/a,"Case 4: high cost case. Costs assumed to be in USD2016, like the HT case"
NASEM-2019,Table 5.10,LT-DAC,Blower,2019,CAPEX,Output Capacity|Captured CO2,2.1,,MUSD_2016,1.0,Mt/a,Case 2: low cost case.
NASEM-2019,Table 5.10,LT-DAC,Blower,2019,CAPEX,Output Capacity|Captured CO2,6.7,,MUSD_2016,1.0,Mt/a,Case 4: high cost case.
NASEM-2019,Table 5.10,LT-DAC,Vacuum pump,2019,CAPEX,Output Capacity|Captured CO2,2.6,,MUSD_2016,1.0,Mt/a,Case 2: low cost case.
NASEM-2019,Table 5.10,LT-DAC,Vacuum pump,2019,CAPEX,Output Capacity|Captured CO2,8.5,,MUSD_2016,1.0,Mt/a,Case 4: high cost case.
NASEM-2019,Table 5.10,LT-DAC,Adsorption,2019,OPEX Variable,Output|Captured CO2,9,,MUSD_2016,1.0,Mt,Case 2: low cost case.
NASEM-2019,Table 5.10,LT-DAC,Adsorption,2019,OPEX Variable,Output|Captured CO2,19,,MUSD_2016,1.0,Mt,Case 4: high cost case.
NASEM-2019,Table 5.10,LT-DAC,Steam,2019,OPEX Variable,Output|Captured CO2,2.2,,MUSD_2016,1.0,Mt,Case 2: low cost case.
NASEM-2019,Table 5.10,LT-DAC,Steam,2019,OPEX Variable,Output|Captured CO2,3,,MUSD_2016,1.0,Mt,Case 4: high cost case.
